id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
34295,Women,Apparel,Topwear,Dupatta,Orange,Summer,2012.0,Ethnic,Fabindia Orange Silk Dupatta
24599,Men,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Casual,Mr. Men Men Purple Printed T-shirt
48387,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,French Connection Men Blue Jeans
23157,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Mark Taylor Men Blue Printed T-shirt
38974,Men,Apparel,Topwear,Shirts,Black,Summer,2012.0,Formal,Arrow New York Men Black Check Slim Fit Shirt
44309,Men,Apparel,Bottomwear,Shorts,Brown,Summer,2012.0,Casual,Indian Terrain Men Brown Shorts
1983,Women,Apparel,Topwear,Tshirts,Blue,Fall,2010.0,Casual,ADIDAS Women Graphic Blue T-shirt
47642,Men,Footwear,Shoes,Casual Shoes,Black,Winter,2013.0,Casual,Carlton London Men Black Shoes
51214,Women,Footwear,Flip Flops,Flip Flops,Pink,Summer,2012.0,Casual,Globalite Women Pink Sandals
14720,Women,Apparel,Topwear,Tops,Purple,Fall,2011.0,Casual,Jealous 21 Women Casual Top Purple Tops
22244,Men,Footwear,Shoes,Casual Shoes,Blue,Summer,2011.0,Casual,ID Men Blue Casual Shoes
14325,Women,Apparel,Topwear,Tshirts,Pink,Fall,2011.0,Casual,ADIDAS Women Printed Pink T-shirt
34198,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Proline Men Blue Striped Polo T-shirt
35808,Women,Footwear,Shoes,Heels,Cream,Summer,2012.0,Casual,Enroute Women Cream Flats
16522,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Locomotive Men Washed Blue Jeans
11323,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,United Colors of Benetton Men Washed Blue Jeans
9594,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Scullers Men Scul Red White Shirts
23945,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Provogue Men Printed White T-shirt
39287,Men,Footwear,Sandal,Sandals,Black,Summer,2018.0,Casual,Red Chief Men Black Sandals
19051,Women,Footwear,Shoes,Flats,Brown,Winter,2015.0,Casual,Catwalk Women Brown Sandals
32379,Women,Apparel,Dress,Dresses,Off White,Summer,2012.0,Casual,Arrow Woman Printed Multi Coloured Dress
47548,Women,Footwear,Shoes,Heels,Red,Winter,2012.0,Ethnic,Portia Women Red Heels
56891,Women,Footwear,Shoes,Heels,Red,Winter,2012.0,Casual,HM Women Red Flats
19787,Men,Apparel,Topwear,Tshirts,White,Winter,2016.0,Casual,U.S. Polo Assn. Men Solid White Tshirt
39242,Women,Apparel,Loungewear and Nightwear,Nightdress,Pink,Summer,2017.0,Casual,Femella Women Pink Nightdress
51810,Women,Apparel,Loungewear and Nightwear,Nightdress,Black,Summer,2016.0,Casual,Bwitch Black Nightdress
50876,Women,Apparel,Saree,Sarees,Green,Summer,2012.0,Ethnic,Prafful Green & Beige Crepe Sari
9984,Men,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Sports,Nike Men As Value Runn Green T-Shirts
59663,Women,Apparel,Saree,Sarees,Green,Fall,2012.0,Ethnic,FNF Green Printed Evening Wear Sari
4313,Unisex,Apparel,Topwear,Tshirts,Pink,Summer,2011.0,Casual,Tantra Kid's Unisex Elephant Pink Kidswear
22366,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Ed Hardy Men New Tiger White T-Shirt
4339,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2012.0,Sports,Fila Men's Mythos Black Red Shoe
17495,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2012.0,Casual,Puma Men Black Drifter Cat II Flip Flops
56226,Men,Apparel,Loungewear and Nightwear,Night suits,Green,Summer,2016.0,Casual,SDL by Sweet Dreams Men Green & Grey Pyjama Set
17747,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,Puma Men Track Cat Black Casual Shoe
26292,Men,Apparel,Topwear,Tshirts,Purple,Summer,2012.0,Casual,Proline Men Purple Striped Polo T-shirt
4090,Men,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,Classic Polo Men's Red T-shirt
24461,Men,Footwear,Shoes,Casual Shoes,Grey,Fall,2011.0,Casual,ADIDAS Men Grey Pural Desman Casual Shoes
16553,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Basics Men White Printed Polo T-shirt
13966,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Ed Hardy Men Solid White Tshirts
11464,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,United Colors of Benetton Men Light Winter Blue Tshirts
36223,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Nike Men Air Quick Handle White & Black Sports Shoes
34403,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Myntra Men Back To The 70s Black T-shirt
47244,Men,Footwear,Shoes,Casual Shoes,Blue,Summer,2013.0,Casual,Playboy Men Blue Shoes
42653,Women,Apparel,Topwear,Kurtas,Black,Summer,2012.0,Ethnic,Alma Women Black Printed Kurta
1549,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010.0,Sports,Puma Men's Jiyu Slip On Sneaker
16171,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2011.0,Formal,Enroute Men Leather Black Formal Shoes
44914,Men,Apparel,Bottomwear,Track Pants,Blue,Summer,2012.0,Casual,Puma Men Blue Track Pants
10823,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Wrangler Men Grey Polo Tshirts
33313,Men,Apparel,Topwear,Tshirts,Off White,Summer,2012.0,Casual,Jack & Jones Men Off White T-shirt
8556,Men,Apparel,Topwear,Tshirts,Orange,Fall,2011.0,Casual,Probase Men Speed Ski the Best performer Orange Tshirts
52380,Women,Apparel,Loungewear and Nightwear,Nightdress,Blue,Winter,2015.0,Casual,Red Rose Women Blue Nightdress
11554,Women,Apparel,Topwear,Kurtis,Pink,Summer,2011.0,Ethnic,W Women Printed Pink Kurtis
16206,Men,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Puma Men Hazard Green TShirt
33576,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012.0,Casual,Wrangler Men Motoroil Navy Blue T-shirt
13657,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011.0,Sports,ADIDAS White  Sports Shoe
4156,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011.0,Sports,Nike Men's Vapour Club White Red Shoe
56696,Men,Apparel,Topwear,Kurtas,Teal,Summer,2012.0,Ethnic,Fabindia Men Teal Kurta
22722,Men,Footwear,Shoes,Casual Shoes,Grey,Fall,2011.0,Casual,Nike Men Toki Canvas Grey Casual Shoes
56649,Women,Apparel,Topwear,Kurtis,Cream,Fall,2012.0,Ethnic,Mumbai Slang Women Cream Kurti
6898,Women,Apparel,Bottomwear,Skirts,Cream,Summer,2011.0,Casual,Forever New Women's Formal Cream Skirt
7012,Men,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Classic Polo Men's Green Polo With Grey Stripes T-shirt
10616,Women,Footwear,Flip Flops,Flip Flops,Gold,Fall,2011.0,Casual,Carlton London Women Glitterati Gold Slippers
30612,Boys,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Sports,Nike Boys Printed Red T-shirt
54571,Women,Apparel,Topwear,Kurtas,Green,Summer,2012.0,Ethnic,Sushilas Women Printed Green Kurta
43332,Women,Apparel,Topwear,Tunics,Grey,Summer,2012.0,Casual,United Colors of Benetton Women Grey Tunic
47120,Boys,Footwear,Sandal,Sandals,Red,Winter,2012.0,Casual,Marvel Boys Red and Black Sandals
14508,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Sports,ADIDAS Men Solid Navy Blue Jerseys
6129,Unisex,Footwear,Sandal,Sandals,Black,Summer,2011.0,Casual,Puma Unisex Scuba Black Sandals
45595,Men,Footwear,Shoes,Formal Shoes,Brown,Summer,2013.0,Formal,Arrow Men Brown Formal Shoes
1591,Men,Apparel,Bottomwear,Shorts,Red,Fall,2010.0,Sports,Kipsta Men Red Shorts
36735,Women,Apparel,Topwear,Tshirts,Multi,Summer,2012.0,Casual,Spykar Women Cult Multi T-shirt
49809,Women,Footwear,Flip Flops,Flip Flops,White,Winter,2012.0,Casual,iPanema Women White Flip Flops
10403,Women,Apparel,Topwear,Tops,Purple,Fall,2011.0,Casual,Jealous 21 Women Uri Purple Tops
13985,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,Puma Men Jiyu 2 Black Casual Shoes
44424,Women,Footwear,Shoes,Casual Shoes,White,Summer,2012.0,Casual,Gliders Women White & Red Fortes Shoes
59123,Men,Apparel,Topwear,Jackets,Black,Summer,2012.0,Casual,Just Natural Men Black Jacket
33304,Boys,Apparel,Topwear,Tshirts,Yellow,Summer,2012.0,Casual,Gini and Jony Boys Pack of 2 T-shirts
23917,Women,Footwear,Shoes,Casual Shoes,White,Summer,2012.0,Casual,Fila Women Paramount White Casual Shoes
31281,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Puma Men Printed Grey T-shirt
40613,Women,Apparel,Topwear,Kurtas,Purple,Summer,2012.0,Ethnic,Span Women Purple Kurta
5241,Men,Footwear,Shoes,Sports Shoes,Grey,Summer,2011.0,Sports,Reebok Men's Cruiseon Charcoal Grey Shoe
23677,Men,Footwear,Sandal,Sandals,Brown,Summer,2012.0,Casual,Red Tape Men Cross Band Brown Sandals
57440,Women,Apparel,Topwear,Tshirts,Blue,Summer,2015.0,Casual,Angry Birds Women Blue T-shirt
41079,Men,Footwear,Flip Flops,Flip Flops,Brown,Summer,2012.0,Casual,Lotto Men Brown Caesar Slide Flip Flops
42010,Men,Footwear,Sandal,Sandals,Brown,Summer,2015.0,Casual,Estd. 1977 Men Brown Sandals
13131,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,2012.0,Formal,Provogue Men Brown Formal Shoes
3797,Men,Footwear,Shoes,Casual Shoes,Black,Spring,2014.0,Casual,Converse Men Black & Red Shoes
6991,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,s.Oliver Men's Polo Grey Collar White T-shirt
31238,Men,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,Puma Men Schon Polo Green T-shirt
20144,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Wrangler Men Bull Classic Striped White Shirt
18994,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,ADIDAS Originals Men G Tag Black Tshirt
6854,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2011.0,Sports,Spalding Men's Running Black Yellow Shoe
16497,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Locomotive Men Printed Red TShirt
22284,Women,Footwear,Shoes,Heels,Gold,Winter,2012.0,Casual,Inc. 5 Women Casual Golden Heels
25909,Women,Apparel,Bottomwear,Leggings,Pink,Summer,2012.0,Casual,Femella Women Pink Leggings
19038,Women,Footwear,Shoes,Heels,Beige,Winter,2015.0,Casual,Catwalk Women Beige Heels
9974,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Sports,Nike Men Black Polo Tshirts
5766,Women,Apparel,Bottomwear,Jeans,Black,Summer,2011.0,Casual,Jealous 21 Women Black Jegging
58720,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Puma Men White T-shirt
53051,Women,Apparel,Saree,Sarees,Maroon,Fall,2012.0,Ethnic,FNF Maroon Printed Sari
20785,Men,Apparel,Topwear,Sweatshirts,White,Fall,2011.0,Casual,Classic Polo Men Striped White Sweatshirt
8193,Men,Apparel,Topwear,Shirts,Blue,Summer,2011.0,Casual,Locomotive Men Solid Poplin Lamar Blue Shirts
59895,Women,Apparel,Dress,Dresses,Orange,Fall,2012.0,Casual,Femella Women Orange Dress
14580,Men,Apparel,Topwear,Shirts,Grey,Summer,2011.0,Casual,United Colors of Benetton Men Solid DK.Grey Shirts
10022,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Sports,Nike Men Blue Polo Tshirts
37166,Women,Apparel,Topwear,Tops,Red,Summer,2012.0,Casual,United Colors of Benetton Women Red Top
1876,Men,Apparel,Topwear,Tshirts,White,Winter,2010.0,Casual,FIFA Mens Mexican Wave White T-shirt
17967,Men,Footwear,Sandal,Sandals,Black,Fall,2011.0,Casual,Puma Men Girija Black Slipper
14723,Women,Apparel,Topwear,Shirts,Maroon,Fall,2011.0,Casual,Scullers For Her Women Casual Shirt Maroon Shirts
7235,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,2011.0,Formal,Rockport Men's Ragosta Brown Shoe
45796,Women,Footwear,Shoes,Flats,Green,Fall,2012.0,Casual,Senorita Women Green Sandals
40588,Women,Apparel,Topwear,Kurtas,Maroon,Summer,2012.0,Ethnic,Aurelia Women Maroon Kurta
16900,Men,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Status Quo Men Green Polo Tshirt
53031,Women,Apparel,Saree,Sarees,Yellow,Fall,2012.0,Ethnic,FNF Printed Yellow Sari
22358,Men,Apparel,Topwear,Shirts,Beige,Fall,2011.0,Casual,John Players Men Solid Beige Shirt
36199,Boys,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Gini Jony Boys Polo Black T-Shirt
3493,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2011.0,Casual,ADIDAS Men Mactelo Black Daronx Shoe
18714,Women,Apparel,Topwear,Tops,Magenta,Fall,2011.0,Casual,Arrow Woman Issey Magenta Top
46216,Women,Apparel,Dress,Dresses,Pink,Summer,2012.0,Casual,AND Women Pink Dress
25843,Women,Apparel,Topwear,Kurtas,Purple,Summer,2012.0,Ethnic,Diva Women Printed Purple Kurta
44716,Men,Footwear,Flip Flops,Flip Flops,Green,Summer,2012.0,Casual,Lotto Men Green Flip Flops
16820,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Locomotive Men Washed Blue Jeans
52340,Women,Apparel,Loungewear and Nightwear,Nightdress,Blue,Winter,2015.0,Casual,Red Rose Women Blue Nightdress
6451,Women,Footwear,Flip Flops,Flip Flops,Black,Summer,2011.0,Casual,Lotto Women's Sunsets Black Purple Flip Flop
28525,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Nike Men Man U Core Black T-shirt
4499,Men,Footwear,Shoes,Sports Shoes,Grey,Summer,2011.0,Sports,Lotto Men's Chamonix Grey Shoe
5186,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Dark Knight Men's Joker Color Splash Black T-shirt
38288,Girls,Apparel,Topwear,Tops,Green,Summer,2012.0,Casual,Kids Ville Girls Green Printed Top
31593,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Mark Taylor Men Printed Grey T-shirt
2371,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2018.0,Casual,Red Tape Semi Casual Brown Shoe
7605,Women,Footwear,Shoes,Sports Shoes,White,Summer,2011.0,Sports,Nike Women's Air Dict White Shoe
34733,Women,Footwear,Shoes,Sports Shoes,Blue,Summer,2012.0,Sports,Puma Women Faas 300 Blue & Pink Sports Shoes
9832,Women,Apparel,Topwear,Tshirts,Orange,Fall,2011.0,Casual,Little Miss Women Printed Rust T-shirt
16126,Women,Apparel,Topwear,Tshirts,Pink,Fall,2011.0,Casual,ADIDAS Women Pink TShirt
40751,Women,Footwear,Flip Flops,Flip Flops,Blue,Winter,2012.0,Casual,Roxy Women Blue Flip Flops
7454,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011.0,Casual,Proline Men Navy Polo T-shirt
41734,Women,Footwear,Shoes,Heels,Silver,Winter,2012.0,Casual,Catwalk Women Silver Flats
53394,Women,Apparel,Topwear,Kurtas,Blue,Fall,2012.0,Ethnic,Alma Women Blue and Sea Green Printed Kurta
53432,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012.0,Sports,ADIDAS Men Navy Blue Jersey
39978,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2013.0,Casual,GAS Men Brown Carroll Casual Shoes
44689,Women,Apparel,Topwear,Tshirts,Beige,Summer,2012.0,Casual,Wills Lifestyle Women Beige Victoria Laced T-shirt
8549,Men,Apparel,Topwear,Tshirts,Orange,Fall,2011.0,Casual,Basics Men Orange Polo T-shirt
4968,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2011.0,Casual,Gini and Jony Boy's Kaffle Yellow Infant Kidswear
11821,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,Playboy Men Casual Black Casual Shoes
47029,Women,Apparel,Topwear,Kurtas,Maroon,Fall,2012.0,Ethnic,Shree Women Maroon Printed Kurta
2162,Men,Apparel,Topwear,Shirts,Blue,Spring,2011.0,Casual,Probase Men Blue Slim Fit Solid Casual Shirt
40107,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,ADIDAS Men Black T-shirt
19120,Unisex,Footwear,Flip Flops,Flip Flops,Red,Fall,2011.0,Casual,Lotto Unisex Shine Red Slippers
8200,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Locomotive Men Solid Lander Black T-Shirts
24415,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2012.0,Casual,ADIDAS Men Zeitfrei Slide Black Flip Flops
37803,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012.0,Casual,John Players Men Navy Blue Cotton Linen Shirt
13215,Men,Footwear,Shoes,Sports Shoes,Grey,Spring,2012.0,Sports,ASICS Men Gel Enduro 7 Running Silver Sports Shoes
35651,Men,Footwear,Shoes,Formal Shoes,Brown,Summer,2012.0,Formal,U.S. Polo Assn. Men Brown Formal Shoes
37975,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2012.0,Casual,Clarks Men Black Leather Casual Shoes
8004,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Sports,Fila Men's Round Neck Black Grey T-shirt
13240,Men,Apparel,Topwear,Jackets,White,Fall,2011.0,Casual,Palm Tree Kids Boys Solid White Jackets
2554,Women,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Domyos Women's Proteen White T-shirt
15868,Unisex,Footwear,Sandal,Sandals,Brown,Fall,2011.0,Casual,Warner Bros Kids Unisex TJ Playlogs Brown Sandals
29043,Men,Apparel,Bottomwear,Tracksuits,Navy Blue,Summer,2012.0,Sports,ADIDAS Men Navy Blue Tracksuit
59022,Women,Footwear,Shoes,Flats,Brown,Winter,2012.0,Casual,Carlton London Women Beige Flats
3647,Men,Footwear,Shoes,Casual Shoes,White,Summer,2012.0,Casual,Fila Men's Paramount White Navy Shoe
24304,Men,Apparel,Topwear,Sweatshirts,Black,Fall,2011.0,Casual,ADIDAS Men Printed Black Sweatshirt
6906,Women,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,Tantra Women's Cool Red T-shirt
28648,Women,Apparel,Topwear,Tshirts,Purple,Summer,2012.0,Sports,Nike Women Slim Crew Purple T-shirt
7416,Women,Apparel,Topwear,Kurtas,White,Summer,2011.0,Ethnic,W Women V Neck Solid Short Sleeve White Kurta
24362,Women,Apparel,Topwear,Kurtas,Brown,Fall,2011.0,Ethnic,Folklore Women Brown Printed Kurta
48490,Women,Apparel,Topwear,Tops,Purple,Winter,2011.0,Casual,French Connection Women Purple Top
32427,Men,Apparel,Bottomwear,Shorts,Black,Summer,2010.0,Casual,ADIDAS Men Black 3/4 Length Pants
57139,Women,Apparel,Bottomwear,Trousers,Black,Summer,2012.0,Casual,Elle Women Black Etra Slim Fit Trousers
57063,Women,Apparel,Topwear,Jackets,White,Summer,2012.0,Casual,Elle Women White Jacket
19003,Women,Apparel,Topwear,Sweatshirts,Red,Summer,2011.0,Casual,ADIDAS Originals Women Trefoil Hoodie Red Sweatshirt
34934,Women,Apparel,Topwear,Dupatta,Blue,Summer,2012.0,Ethnic,Fabindia Blue Dupatta
3606,Men,Footwear,Shoes,Casual Shoes,Black,Winter,2015.0,Casual,Converse Men Black Shoes
39909,Men,Footwear,Shoes,Sports Shoes,Orange,Summer,2012.0,Sports,ADIDAS Men Orange F10 Sports Shoes
14582,Women,Apparel,Topwear,Sweaters,Black,Fall,2011.0,Casual,United Colors of Benetton Women Solid Black Sweaters
6040,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,UCB Men's Applique Grey T-shirt
45733,Women,Apparel,Topwear,Kurtas,Magenta,Summer,2012.0,Ethnic,Folklore Women Magenta Kurta
39655,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Lotto Men White Sports Shoes
38612,Women,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Nike Women White & Red Striped T-shirt
33699,Men,Footwear,Shoes,Formal Shoes,Brown,Winter,2012.0,Formal,Cobblerz Men Brown Formal Shoes
15745,Women,Footwear,Shoes,Sports Shoes,Silver,Summer,2012.0,Sports,Nike Women Transform III Silver Sports Shoes
34513,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2012.0,Casual,ADIDAS Men Adi Splash Black Flip Flop
49434,Unisex,Footwear,Shoes,Casual Shoes,Blue,Fall,2012.0,Casual,Vans Unisex Blue Authentic Shoes
3228,Women,Footwear,Shoes,Casual Shoes,Black,Fall,2010.0,Casual,Puma Women Sabadella Sequin Black Shoe
10495,Women,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Flying Machine Women HS Blue Shirt
5955,Men,Apparel,Topwear,Shirts,Yellow,Summer,2011.0,Casual,Locomotive Men Yellow Checked Shirt
9542,Men,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Sports,Nike Men Manu Auth Graphic Red T-Shirts
43687,Girls,Apparel,Topwear,Tops,Pink,Summer,2012.0,Casual,Doodle Girls Pink Top
31300,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Puma Men Summer Black T-shirt
25839,Women,Apparel,Topwear,Kurtas,Red,Summer,2012.0,Ethnic,Diva Women Printed Red Kurta
59445,Men,Apparel,Topwear,Shirts,White,Fall,2012.0,Formal,Arrow Men White Shirt
5901,Women,Footwear,Shoes,Casual Shoes,Black,Summer,2011.0,Casual,Puma Women's Corsica Tribal Black Shoe
28755,Women,Apparel,Topwear,Kurtas,Purple,Summer,2012.0,Ethnic,Aurelia Women Printed Purple Kurta
18402,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,Skechers Men USA Black Shoe
23179,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2011.0,Casual,Mark Taylor Men Yellow Printed T-shirt
33102,Women,Footwear,Shoes,Heels,Blue,Winter,2015.0,Casual,Catwalk Women Blue Flats
20671,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Classic Polo Men Striped Black Tshirt
25406,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Sports,Nike Men White T-shirt
4324,Unisex,Apparel,Topwear,Tshirts,Orange,Summer,2011.0,Casual,Tantra Kid's Unisex Fault Brick Orange Kidswear
