idx,kind,rating,compliance,answer_model,judge_model
10,out_of_domain,5,0,gpt-5,gpt-5
9,out_of_scope,6,1,gpt-5,gpt-5
10,out_of_scope,6,1,gpt-5,gpt-5
12,missing_context,6,1,gpt-5,gpt-5
11,missing_context,6,1,gpt-5,gpt-5
11,incomplete,6,1,gpt-5,gpt-5
13,baseline,5,0,gpt-5,gpt-5
13,out_of_domain,5,0,gpt-5,gpt-5
13,misspelled,5,0,gpt-5,gpt-5
13,ocr,5,0,gpt-5,gpt-5
13,incomplete,5,0,gpt-5,gpt-5
11,ocr,5,0,gpt-5,gpt-5
13,missing_context,6,1,gpt-5,gpt-5
11,misspelled,6,1,gpt-5,gpt-5
12,baseline,4,0,gpt-5,gpt-5
11,out_of_domain,6,1,gpt-5,gpt-5
13,out_of_scope,6,1,gpt-5,gpt-5
12,misspelled,4,0,gpt-5,gpt-5
11,baseline,6,1,gpt-5,gpt-5
12,incomplete,6,1,gpt-5,gpt-5
14,baseline,5,0,gpt-5,gpt-5
14,missing_context,6,1,gpt-5,gpt-5
12,out_of_domain,6,1,gpt-5,gpt-5
12,ocr,6,1,gpt-5,gpt-5
14,incomplete,5,0,gpt-5,gpt-5
11,out_of_scope,5,0,gpt-5,gpt-5
15,baseline,6,1,gpt-5,gpt-5
14,ocr,5,0,gpt-5,gpt-5
15,missing_context,6,1,gpt-5,gpt-5
14,misspelled,5,0,gpt-5,gpt-5
15,incomplete,6,1,gpt-5,gpt-5
16,missing_context,6,1,gpt-5,gpt-5
14,out_of_domain,6,1,gpt-5,gpt-5
15,misspelled,6,1,gpt-5,gpt-5
12,out_of_scope,1,0,gpt-5,gpt-5
14,out_of_scope,5,0,gpt-5,gpt-5
15,ocr,6,1,gpt-5,gpt-5
16,misspelled,5,0,gpt-5,gpt-5
15,out_of_domain,6,1,gpt-5,gpt-5
16,baseline,5,0,gpt-5,gpt-5
16,out_of_domain,5,0,gpt-5,gpt-5
17,missing_context,6,1,gpt-5,gpt-5
15,out_of_scope,6,1,gpt-5,gpt-5
17,misspelled,4,0,gpt-5,gpt-5
16,ocr,5,0,gpt-5,gpt-5
16,incomplete,6,1,gpt-5,gpt-5
19,baseline,5,0,gpt-5,gpt-5
17,out_of_domain,5,0,gpt-5,gpt-5
17,out_of_scope,6,1,gpt-5,gpt-5
18,missing_context,6,1,gpt-5,gpt-5
16,out_of_scope,6,1,gpt-5,gpt-5
17,incomplete,4,0,gpt-5,gpt-5
19,missing_context,6,1,gpt-5,gpt-5
18,out_of_scope,6,1,gpt-5,gpt-5
19,incomplete,5,0,gpt-5,gpt-5
19,misspelled,5,0,gpt-5,gpt-5
17,ocr,4,0,gpt-5,gpt-5
19,ocr,5,0,gpt-5,gpt-5
19,out_of_domain,5,0,gpt-5,gpt-5
20,incomplete,5,0,gpt-5,gpt-5
17,baseline,4,0,gpt-5,gpt-5
20,out_of_domain,5,0,gpt-5,gpt-5
20,missing_context,6,1,gpt-5,gpt-5
20,ocr,5,0,gpt-5,gpt-5
18,incomplete,6,1,gpt-5,gpt-5
21,baseline,5,0,gpt-5,gpt-5
18,baseline,4,0,gpt-5,gpt-5
20,misspelled,5,0,gpt-5,gpt-5
21,out_of_domain,5,0,gpt-5,gpt-5
21,misspelled,5,0,gpt-5,gpt-5
20,baseline,5,0,gpt-5,gpt-5
21,missing_context,6,1,gpt-5,gpt-5
18,misspelled,4,0,gpt-5,gpt-5
18,ocr,6,1,gpt-5,gpt-5
21,ocr,5,0,gpt-5,gpt-5
21,incomplete,5,0,gpt-5,gpt-5
22,misspelled,6,1,gpt-5,gpt-5
18,out_of_domain,4,0,gpt-5,gpt-5
23,missing_context,6,1,gpt-5,gpt-5
23,incomplete,5,0,gpt-5,gpt-5
23,out_of_domain,5,0,gpt-5,gpt-5
21,out_of_scope,6,1,gpt-5,gpt-5
20,out_of_scope,4,0,gpt-5,gpt-5
22,baseline,6,1,gpt-5,gpt-5
23,ocr,5,0,gpt-5,gpt-5
23,baseline,5,0,gpt-5,gpt-5
22,incomplete,6,1,gpt-5,gpt-5
23,misspelled,5,0,gpt-5,gpt-5
22,out_of_domain,6,1,gpt-5,gpt-5
22,out_of_scope,6,1,gpt-5,gpt-5
24,missing_context,6,1,gpt-5,gpt-5
22,ocr,6,1,gpt-5,gpt-5
25,misspelled,5,0,gpt-5,gpt-5
24,misspelled,6,1,gpt-5,gpt-5
25,missing_context,6,1,gpt-5,gpt-5
24,out_of_scope,6,1,gpt-5,gpt-5
25,out_of_scope,6,1,gpt-5,gpt-5
25,baseline,5,0,gpt-5,gpt-5
24,out_of_domain,6,1,gpt-5,gpt-5
22,missing_context,6,1,gpt-5,gpt-5
25,out_of_domain,5,0,gpt-5,gpt-5
23,out_of_scope,6,1,gpt-5,gpt-5
24,baseline,6,1,gpt-5,gpt-5
25,incomplete,5,0,gpt-5,gpt-5
24,incomplete,5,0,gpt-5,gpt-5
24,ocr,6,1,gpt-5,gpt-5
26,missing_context,6,1,gpt-5,gpt-5
25,ocr,5,0,gpt-5,gpt-5
27,baseline,5,0,gpt-5,gpt-5
26,incomplete,6,1,gpt-5,gpt-5
19,out_of_scope,6,1,gpt-5,gpt-5
26,out_of_domain,6,1,gpt-5,gpt-5
27,ocr,5,0,gpt-5,gpt-5
26,baseline,6,1,gpt-5,gpt-5
27,missing_context,6,1,gpt-5,gpt-5
27,misspelled,5,0,gpt-5,gpt-5
26,misspelled,6,1,gpt-5,gpt-5
27,incomplete,5,0,gpt-5,gpt-5
28,missing_context,6,1,gpt-5,gpt-5
27,out_of_domain,5,0,gpt-5,gpt-5
28,out_of_domain,6,1,gpt-5,gpt-5
28,ocr,6,1,gpt-5,gpt-5
26,out_of_scope,6,1,gpt-5,gpt-5
28,misspelled,6,1,gpt-5,gpt-5
29,missing_context,6,1,gpt-5,gpt-5
27,out_of_scope,5,0,gpt-5,gpt-5
30,missing_context,6,1,gpt-5,gpt-5
28,baseline,6,1,gpt-5,gpt-5
30,baseline,6,1,gpt-5,gpt-5
28,incomplete,6,1,gpt-5,gpt-5
26,ocr,6,1,gpt-5,gpt-5
28,out_of_scope,6,1,gpt-5,gpt-5
30,incomplete,6,1,gpt-5,gpt-5
30,out_of_scope,6,1,gpt-5,gpt-5
30,out_of_domain,6,1,gpt-5,gpt-5
29,baseline,6,1,gpt-5,gpt-5
31,missing_context,6,1,gpt-5,gpt-5
29,out_of_scope,4,0,gpt-5,gpt-5
30,misspelled,6,1,gpt-5,gpt-5
32,incomplete,5,0,gpt-5,gpt-5
29,ocr,6,1,gpt-5,gpt-5
29,incomplete,6,1,gpt-5,gpt-5
29,out_of_domain,6,1,gpt-5,gpt-5
32,misspelled,5,0,gpt-5,gpt-5
29,misspelled,6,1,gpt-5,gpt-5
32,baseline,5,0,gpt-5,gpt-5
32,out_of_domain,5,0,gpt-5,gpt-5
32,missing_context,6,1,gpt-5,gpt-5
32,ocr,5,0,gpt-5,gpt-5
31,out_of_scope,6,1,gpt-5,gpt-5
31,baseline,6,1,gpt-5,gpt-5
33,missing_context,6,1,gpt-5,gpt-5
32,out_of_scope,5,0,gpt-5,gpt-5
34,baseline,6,1,gpt-5,gpt-5
31,out_of_domain,6,1,gpt-5,gpt-5
34,misspelled,6,1,gpt-5,gpt-5
34,out_of_domain,5,0,gpt-5,gpt-5
34,incomplete,6,1,gpt-5,gpt-5
31,misspelled,6,1,gpt-5,gpt-5
34,ocr,5,0,gpt-5,gpt-5
34,missing_context,6,1,gpt-5,gpt-5
33,baseline,6,1,gpt-5,gpt-5
31,incomplete,6,1,gpt-5,gpt-5
31,ocr,6,1,gpt-5,gpt-5
33,incomplete,6,1,gpt-5,gpt-5
35,missing_context,6,1,gpt-5,gpt-5
35,ocr,5,0,gpt-5,gpt-5
35,misspelled,5,0,gpt-5,gpt-5
35,baseline,5,0,gpt-5,gpt-5
30,ocr,5,0,gpt-5,gpt-5
33,misspelled,6,1,gpt-5,gpt-5
33,out_of_domain,6,1,gpt-5,gpt-5
34,out_of_scope,5,0,gpt-5,gpt-5
36,missing_context,6,1,gpt-5,gpt-5
33,ocr,6,1,gpt-5,gpt-5
35,out_of_domain,5,0,gpt-5,gpt-5
37,baseline,5,0,gpt-5,gpt-5
35,out_of_scope,5,0,gpt-5,gpt-5
37,incomplete,5,0,gpt-5,gpt-5
36,out_of_domain,5,0,gpt-5,gpt-5
35,incomplete,6,1,gpt-5,gpt-5
37,out_of_domain,5,0,gpt-5,gpt-5
37,missing_context,6,1,gpt-5,gpt-5
37,misspelled,5,0,gpt-5,gpt-5
36,misspelled,6,1,gpt-5,gpt-5
36,out_of_scope,4,0,gpt-5,gpt-5
38,baseline,5,0,gpt-5,gpt-5
36,incomplete,6,1,gpt-5,gpt-5
38,missing_context,6,1,gpt-5,gpt-5
39,baseline,5,0,gpt-5,gpt-5
36,baseline,6,1,gpt-5,gpt-5
37,out_of_scope,5,0,gpt-5,gpt-5
37,ocr,5,0,gpt-5,gpt-5
38,out_of_domain,5,0,gpt-5,gpt-5
38,incomplete,5,0,gpt-5,gpt-5
39,incomplete,5,0,gpt-5,gpt-5
39,missing_context,6,1,gpt-5,gpt-5
38,ocr,5,0,gpt-5,gpt-5
38,out_of_scope,6,1,gpt-5,gpt-5
39,ocr,5,0,gpt-5,gpt-5
38,misspelled,5,0,gpt-5,gpt-5
39,misspelled,5,0,gpt-5,gpt-5
40,misspelled,6,1,gpt-5,gpt-5
40,incomplete,6,1,gpt-5,gpt-5
40,baseline,6,1,gpt-5,gpt-5
39,out_of_domain,5,0,gpt-5,gpt-5
39,out_of_scope,5,0,gpt-5,gpt-5
41,baseline,5,0,gpt-5,gpt-5
40,out_of_domain,6,1,gpt-5,gpt-5
41,missing_context,6,1,gpt-5,gpt-5
40,missing_context,6,1,gpt-5,gpt-5
41,incomplete,5,0,gpt-5,gpt-5
41,misspelled,5,0,gpt-5,gpt-5
42,baseline,6,1,gpt-5,gpt-5
42,misspelled,5,0,gpt-5,gpt-5
41,out_of_domain,5,0,gpt-5,gpt-5
40,ocr,6,1,gpt-5,gpt-5
42,out_of_domain,5,0,gpt-5,gpt-5
41,ocr,5,0,gpt-5,gpt-5
42,out_of_scope,6,1,gpt-5,gpt-5
36,ocr,6,1,gpt-5,gpt-5
42,missing_context,6,1,gpt-5,gpt-5
42,incomplete,6,1,gpt-5,gpt-5
43,incomplete,5,0,gpt-5,gpt-5
43,misspelled,5,0,gpt-5,gpt-5
40,out_of_scope,5,0,gpt-5,gpt-5
33,out_of_scope,6,1,gpt-5,gpt-5
41,out_of_scope,6,1,gpt-5,gpt-5
43,missing_context,6,1,gpt-5,gpt-5
43,out_of_domain,5,0,gpt-5,gpt-5
43,baseline,5,0,gpt-5,gpt-5
43,out_of_scope,6,1,gpt-5,gpt-5
44,ocr,4,0,gpt-5,gpt-5
43,ocr,5,0,gpt-5,gpt-5
44,missing_context,6,1,gpt-5,gpt-5
44,incomplete,5,0,gpt-5,gpt-5
44,out_of_domain,4,0,gpt-5,gpt-5
44,baseline,5,0,gpt-5,gpt-5
45,missing_context,6,1,gpt-5,gpt-5
42,ocr,3,0,gpt-5,gpt-5
46,missing_context,6,1,gpt-5,gpt-5
44,out_of_scope,6,1,gpt-5,gpt-5
44,misspelled,5,0,gpt-5,gpt-5
46,misspelled,4,0,gpt-5,gpt-5
46,baseline,4,0,gpt-5,gpt-5
46,out_of_scope,6,1,gpt-5,gpt-5
45,out_of_scope,5,0,gpt-5,gpt-5
45,baseline,6,1,gpt-5,gpt-5
47,missing_context,6,1,gpt-5,gpt-5
45,incomplete,6,1,gpt-5,gpt-5
45,misspelled,6,1,gpt-5,gpt-5
45,out_of_domain,6,1,gpt-5,gpt-5
47,baseline,6,1,gpt-5,gpt-5
46,ocr,5,0,gpt-5,gpt-5
46,incomplete,4,0,gpt-5,gpt-5
45,ocr,6,1,gpt-5,gpt-5
48,baseline,5,0,gpt-5,gpt-5
47,misspelled,6,1,gpt-5,gpt-5
48,missing_context,6,1,gpt-5,gpt-5
47,out_of_domain,6,1,gpt-5,gpt-5
47,ocr,6,1,gpt-5,gpt-5
48,ocr,5,0,gpt-5,gpt-5
48,incomplete,5,0,gpt-5,gpt-5
48,out_of_domain,5,0,gpt-5,gpt-5
49,missing_context,6,1,gpt-5,gpt-5
48,misspelled,5,0,gpt-5,gpt-5
47,incomplete,6,1,gpt-5,gpt-5
50,baseline,6,1,gpt-5,gpt-5
47,out_of_scope,5,0,gpt-5,gpt-5
46,out_of_domain,4,0,gpt-5,gpt-5
48,out_of_scope,4,0,gpt-5,gpt-5
50,missing_context,6,1,gpt-5,gpt-5
49,out_of_scope,6,1,gpt-5,gpt-5
49,out_of_domain,6,1,gpt-5,gpt-5
50,misspelled,5,0,gpt-5,gpt-5
51,missing_context,6,1,gpt-5,gpt-5
50,ocr,6,1,gpt-5,gpt-5
49,baseline,6,1,gpt-5,gpt-5
49,misspelled,6,1,gpt-5,gpt-5
50,out_of_domain,6,1,gpt-5,gpt-5
50,incomplete,6,1,gpt-5,gpt-5
51,out_of_domain,2,0,gpt-5,gpt-5
52,baseline,6,1,gpt-5,gpt-5
52,incomplete,6,1,gpt-5,gpt-5
51,misspelled,6,1,gpt-5,gpt-5
51,incomplete,6,1,gpt-5,gpt-5
50,out_of_scope,5,0,gpt-5,gpt-5
49,incomplete,6,1,gpt-5,gpt-5
52,missing_context,6,1,gpt-5,gpt-5
49,ocr,6,1,gpt-5,gpt-5
52,out_of_scope,5,0,gpt-5,gpt-5
51,out_of_scope,5,0,gpt-5,gpt-5
53,missing_context,6,1,gpt-5,gpt-5
52,out_of_domain,6,1,gpt-5,gpt-5
51,ocr,6,1,gpt-5,gpt-5
51,baseline,6,1,gpt-5,gpt-5
52,misspelled,6,1,gpt-5,gpt-5
53,misspelled,6,1,gpt-5,gpt-5
52,ocr,6,1,gpt-5,gpt-5
53,ocr,6,1,gpt-5,gpt-5
53,baseline,6,1,gpt-5,gpt-5
54,missing_context,6,1,gpt-5,gpt-5
55,baseline,6,1,gpt-5,gpt-5
54,out_of_scope,6,1,gpt-5,gpt-5
53,out_of_scope,4,0,gpt-5,gpt-5
54,misspelled,6,1,gpt-5,gpt-5
55,missing_context,6,1,gpt-5,gpt-5
54,out_of_domain,6,1,gpt-5,gpt-5
55,incomplete,6,1,gpt-5,gpt-5
53,out_of_domain,6,1,gpt-5,gpt-5
55,out_of_domain,6,1,gpt-5,gpt-5
55,misspelled,6,1,gpt-5,gpt-5
56,baseline,5,0,gpt-5,gpt-5
54,incomplete,6,1,gpt-5,gpt-5
56,incomplete,5,0,gpt-5,gpt-5
54,ocr,6,1,gpt-5,gpt-5
56,missing_context,6,1,gpt-5,gpt-5
55,out_of_scope,4,0,gpt-5,gpt-5
55,ocr,4,0,gpt-5,gpt-5
56,ocr,5,0,gpt-5,gpt-5
57,misspelled,5,0,gpt-5,gpt-5
56,out_of_domain,5,0,gpt-5,gpt-5
57,baseline,5,0,gpt-5,gpt-5
54,baseline,6,1,gpt-5,gpt-5
57,ocr,5,0,gpt-5,gpt-5
58,baseline,5,0,gpt-5,gpt-5
57,missing_context,6,1,gpt-5,gpt-5
53,incomplete,6,1,gpt-5,gpt-5
57,incomplete,6,1,gpt-5,gpt-5
56,out_of_scope,6,1,gpt-5,gpt-5
58,missing_context,6,1,gpt-5,gpt-5
59,misspelled,5,0,gpt-5,gpt-5
57,out_of_domain,5,0,gpt-5,gpt-5
59,baseline,5,0,gpt-5,gpt-5
58,incomplete,4,0,gpt-5,gpt-5
57,out_of_scope,5,0,gpt-5,gpt-5
59,out_of_domain,5,0,gpt-5,gpt-5
59,missing_context,6,1,gpt-5,gpt-5
59,ocr,5,0,gpt-5,gpt-5
58,out_of_domain,5,0,gpt-5,gpt-5
58,ocr,5,0,gpt-5,gpt-5
58,misspelled,5,0,gpt-5,gpt-5
59,out_of_scope,6,1,gpt-5,gpt-5
60,missing_context,6,1,gpt-5,gpt-5
58,out_of_scope,6,1,gpt-5,gpt-5
59,incomplete,5,0,gpt-5,gpt-5
61,missing_context,6,1,gpt-5,gpt-5
61,incomplete,6,1,gpt-5,gpt-5
61,ocr,6,1,gpt-5,gpt-5
60,out_of_scope,4,0,gpt-5,gpt-5
61,out_of_scope,6,1,gpt-5,gpt-5
61,misspelled,6,1,gpt-5,gpt-5
62,missing_context,6,1,gpt-5,gpt-5
60,out_of_domain,6,1,gpt-5,gpt-5
61,baseline,6,1,gpt-5,gpt-5
60,incomplete,4,0,gpt-5,gpt-5
60,baseline,6,1,gpt-5,gpt-5
62,out_of_scope,6,1,gpt-5,gpt-5
63,missing_context,6,1,gpt-5,gpt-5
61,out_of_domain,6,1,gpt-5,gpt-5
63,out_of_scope,6,1,gpt-5,gpt-5
64,baseline,5,0,gpt-5,gpt-5
64,incomplete,6,1,gpt-5,gpt-5
64,missing_context,6,1,gpt-5,gpt-5
64,out_of_domain,6,1,gpt-5,gpt-5
62,ocr,6,1,gpt-5,gpt-5
64,misspelled,5,0,gpt-5,gpt-5
60,ocr,4,0,gpt-5,gpt-5
64,ocr,5,0,gpt-5,gpt-5
62,out_of_domain,6,1,gpt-5,gpt-5
62,misspelled,6,1,gpt-5,gpt-5
62,baseline,6,1,gpt-5,gpt-5
65,baseline,5,0,gpt-5,gpt-5
63,out_of_domain,6,1,gpt-5,gpt-5
65,misspelled,5,0,gpt-5,gpt-5
63,baseline,6,1,gpt-5,gpt-5
65,out_of_domain,5,0,gpt-5,gpt-5
62,incomplete,6,1,gpt-5,gpt-5
64,out_of_scope,5,0,gpt-5,gpt-5
65,out_of_scope,6,1,gpt-5,gpt-5
66,missing_context,6,1,gpt-5,gpt-5
65,ocr,5,0,gpt-5,gpt-5
66,baseline,5,0,gpt-5,gpt-5
66,misspelled,5,0,gpt-5,gpt-5
65,incomplete,6,1,gpt-5,gpt-5
65,missing_context,6,1,gpt-5,gpt-5
63,incomplete,6,1,gpt-5,gpt-5
60,misspelled,6,1,gpt-5,gpt-5
63,misspelled,6,1,gpt-5,gpt-5
66,ocr,5,0,gpt-5,gpt-5
66,out_of_domain,5,0,gpt-5,gpt-5
66,incomplete,5,0,gpt-5,gpt-5
67,missing_context,6,1,gpt-5,gpt-5
67,out_of_scope,6,1,gpt-5,gpt-5
68,missing_context,6,1,gpt-5,gpt-5
63,ocr,6,1,gpt-5,gpt-5
67,misspelled,6,1,gpt-5,gpt-5
66,out_of_scope,6,1,gpt-5,gpt-5
67,out_of_domain,6,1,gpt-5,gpt-5
67,baseline,6,1,gpt-5,gpt-5
69,incomplete,6,1,gpt-5,gpt-5
67,incomplete,6,1,gpt-5,gpt-5
68,out_of_scope,5,0,gpt-5,gpt-5
68,out_of_domain,2,0,gpt-5,gpt-5
69,missing_context,6,1,gpt-5,gpt-5
69,out_of_scope,6,1,gpt-5,gpt-5
69,baseline,5,0,gpt-5,gpt-5
70,misspelled,5,0,gpt-5,gpt-5
68,incomplete,4,0,gpt-5,gpt-5
69,misspelled,5,0,gpt-5,gpt-5
67,ocr,3,0,gpt-5,gpt-5
68,misspelled,6,1,gpt-5,gpt-5
70,baseline,5,0,gpt-5,gpt-5
70,missing_context,6,1,gpt-5,gpt-5
70,incomplete,5,0,gpt-5,gpt-5
68,ocr,6,1,gpt-5,gpt-5
70,ocr,5,0,gpt-5,gpt-5
70,out_of_domain,6,1,gpt-5,gpt-5
71,missing_context,6,1,gpt-5,gpt-5
71,ocr,5,0,gpt-5,gpt-5
69,ocr,5,0,gpt-5,gpt-5
70,out_of_scope,6,1,gpt-5,gpt-5
71,baseline,5,0,gpt-5,gpt-5
71,misspelled,6,1,gpt-5,gpt-5
68,baseline,4,0,gpt-5,gpt-5
71,out_of_domain,5,0,gpt-5,gpt-5
72,out_of_domain,5,0,gpt-5,gpt-5
72,missing_context,6,1,gpt-5,gpt-5
72,misspelled,5,0,gpt-5,gpt-5
69,out_of_domain,6,1,gpt-5,gpt-5
72,ocr,5,0,gpt-5,gpt-5
72,incomplete,5,0,gpt-5,gpt-5
72,baseline,5,0,gpt-5,gpt-5
71,out_of_scope,5,0,gpt-5,gpt-5
73,baseline,5,0,gpt-5,gpt-5
73,out_of_domain,5,0,gpt-5,gpt-5
71,incomplete,6,1,gpt-5,gpt-5
73,missing_context,6,1,gpt-5,gpt-5
73,incomplete,5,0,gpt-5,gpt-5
72,out_of_scope,6,1,gpt-5,gpt-5
73,misspelled,5,0,gpt-5,gpt-5
74,missing_context,6,1,gpt-5,gpt-5
74,baseline,2,0,gpt-5,gpt-5
73,out_of_scope,5,0,gpt-5,gpt-5
73,ocr,4,0,gpt-5,gpt-5
75,missing_context,6,1,gpt-5,gpt-5
75,misspelled,6,1,gpt-5,gpt-5
76,baseline,5,0,gpt-5,gpt-5
74,out_of_scope,6,1,gpt-5,gpt-5
74,ocr,5,0,gpt-5,gpt-5
76,misspelled,5,0,gpt-5,gpt-5
74,misspelled,3,0,gpt-5,gpt-5
75,incomplete,6,1,gpt-5,gpt-5
74,incomplete,5,0,gpt-5,gpt-5
75,baseline,6,1,gpt-5,gpt-5
75,out_of_domain,5,0,gpt-5,gpt-5
76,incomplete,5,0,gpt-5,gpt-5
76,ocr,5,0,gpt-5,gpt-5
5,misspelled,5,0,gpt-5,gpt-5
75,out_of_scope,5,0,gpt-5,gpt-5
75,ocr,6,1,gpt-5,gpt-5
77,missing_context,6,1,gpt-5,gpt-5
74,out_of_domain,4,0,gpt-5,gpt-5
76,missing_context,6,1,gpt-5,gpt-5
78,missing_context,6,1,gpt-5,gpt-5
76,out_of_domain,6,1,gpt-5,gpt-5
76,out_of_scope,5,0,gpt-5,gpt-5
77,baseline,6,1,gpt-5,gpt-5
77,out_of_scope,4,0,gpt-5,gpt-5
78,incomplete,6,1,gpt-5,gpt-5
79,misspelled,5,0,gpt-5,gpt-5
79,missing_context,6,1,gpt-5,gpt-5
77,misspelled,6,1,gpt-5,gpt-5
78,baseline,6,1,gpt-5,gpt-5
78,out_of_scope,6,1,gpt-5,gpt-5
78,misspelled,5,0,gpt-5,gpt-5
79,incomplete,5,0,gpt-5,gpt-5
79,baseline,5,0,gpt-5,gpt-5
77,ocr,6,1,gpt-5,gpt-5
80,missing_context,6,1,gpt-5,gpt-5
77,out_of_domain,6,1,gpt-5,gpt-5
79,ocr,5,0,gpt-5,gpt-5
79,out_of_domain,6,1,gpt-5,gpt-5
78,out_of_domain,5,0,gpt-5,gpt-5
77,incomplete,6,1,gpt-5,gpt-5
79,out_of_scope,6,1,gpt-5,gpt-5
78,ocr,3,0,gpt-5,gpt-5
81,missing_context,6,1,gpt-5,gpt-5
80,incomplete,6,1,gpt-5,gpt-5
80,out_of_scope,4,0,gpt-5,gpt-5
81,misspelled,6,1,gpt-5,gpt-5
80,ocr,4,0,gpt-5,gpt-5
80,misspelled,4,0,gpt-5,gpt-5
81,baseline,6,1,gpt-5,gpt-5
82,out_of_domain,5,0,gpt-5,gpt-5
81,out_of_domain,6,1,gpt-5,gpt-5
81,incomplete,6,1,gpt-5,gpt-5
82,baseline,5,0,gpt-5,gpt-5
80,baseline,4,0,gpt-5,gpt-5
82,missing_context,6,1,gpt-5,gpt-5
82,ocr,5,0,gpt-5,gpt-5
82,misspelled,5,0,gpt-5,gpt-5
82,out_of_scope,6,1,gpt-5,gpt-5
82,incomplete,5,0,gpt-5,gpt-5
83,incomplete,5,0,gpt-5,gpt-5
81,ocr,4,0,gpt-5,gpt-5
80,out_of_domain,4,0,gpt-5,gpt-5
83,missing_context,6,1,gpt-5,gpt-5
84,missing_context,6,1,gpt-5,gpt-5
84,baseline,5,0,gpt-5,gpt-5
83,baseline,5,0,gpt-5,gpt-5
84,incomplete,5,0,gpt-5,gpt-5
84,misspelled,5,0,gpt-5,gpt-5
81,out_of_scope,4,0,gpt-5,gpt-5
83,ocr,5,0,gpt-5,gpt-5
83,misspelled,5,0,gpt-5,gpt-5
84,out_of_domain,5,0,gpt-5,gpt-5
85,missing_context,6,1,gpt-5,gpt-5
86,missing_context,6,1,gpt-5,gpt-5
86,ocr,5,0,gpt-5,gpt-5
83,out_of_domain,6,1,gpt-5,gpt-5
86,baseline,5,0,gpt-5,gpt-5
83,out_of_scope,5,0,gpt-5,gpt-5
86,incomplete,5,0,gpt-5,gpt-5
86,misspelled,5,0,gpt-5,gpt-5
85,misspelled,3,0,gpt-5,gpt-5
